gene_name_1,gene_name_2,co_occurrence
PIK3C3,PIK3C3,10
PIK3C3,ATG7,2
PIK3C3,FOXO1,4
PIK3C3,SQSTM1,4
PIK3C3,AMPK,8
PIK3C3,MTORC1,2
PIK3C3,LC3B,4
PIK3C3,BECN1,4
PIK3C3,ETOH,6
ATG7,ATG7,2
ATG7,FOXO1,2
ATG7,SQSTM1,2
ATG7,AMPK,2
ATG7,MTORC1,2
ATG7,LC3B,2
ATG7,BECN1,2
ATG7,ETOH,2
FOXO1,FOXO1,4
FOXO1,SQSTM1,4
FOXO1,AMPK,4
FOXO1,MTORC1,2
FOXO1,LC3B,4
FOXO1,BECN1,4
FOXO1,ETOH,4
SQSTM1,SQSTM1,4
SQSTM1,AMPK,4
SQSTM1,MTORC1,2
SQSTM1,LC3B,4
SQSTM1,BECN1,4
SQSTM1,ETOH,4
AMPK,AMPK,8
AMPK,MTORC1,2
AMPK,LC3B,4
AMPK,BECN1,4
AMPK,ETOH,6
MTORC1,MTORC1,2
MTORC1,LC3B,2
MTORC1,BECN1,2
MTORC1,ETOH,2
LC3B,LC3B,4
LC3B,BECN1,4
LC3B,ETOH,4
BECN1,BECN1,4
BECN1,ETOH,4
ETOH,ETOH,6
