gene_name_1,gene_name_2,co_occurrence
TSC2,TSC2,22
TSC2,GRB2,2
TSC2,HRAS,2
TSC2,KDR,10
TSC2,PTEN,10
TSC2,COL4A5,2
TSC2,RAP1A,2
TSC2,CALM1,2
TSC2,FGFR2,2
TSC2,FGFR4,2
TSC2,SGK1,10
TSC2,FGFR3,2
TSC2,ITGB5,2
TSC2,CCND1,2
TSC2,CDH1,2
TSC2,AKT1,4
TSC2,LAMA2,6
GRB2,GRB2,8
GRB2,HRAS,2
GRB2,KDR,6
GRB2,PTEN,2
GRB2,COL4A5,2
GRB2,RAP1A,6
GRB2,CALM1,2
GRB2,FGFR2,6
GRB2,FGFR4,6
GRB2,SGK1,2
GRB2,FGFR3,2
GRB2,ITGB5,2
GRB2,CDH1,2
GRB2,AKT1,2
GRB2,LAMA2,2
HRAS,HRAS,4
HRAS,KDR,4
HRAS,PTEN,2
HRAS,COL4A5,2
HRAS,RAP1A,2
HRAS,CALM1,2
HRAS,FGFR2,2
HRAS,FGFR4,4
HRAS,SGK1,2
HRAS,FGFR3,4
HRAS,ITGB5,2
HRAS,CDH1,2
HRAS,AKT1,4
HRAS,LAMA2,2
KDR,KDR,26
KDR,PTEN,4
KDR,COL4A5,2
KDR,RAP1A,6
KDR,CALM1,2
KDR,FGFR2,10
KDR,FGFR4,12
KDR,SGK1,10
KDR,FGFR3,4
KDR,ITGB5,2
KDR,CCND1,4
KDR,CDH1,2
KDR,AKT1,6
KDR,LAMA2,2
PTEN,PTEN,24
PTEN,COL4A5,2
PTEN,RAP1A,2
PTEN,CALM1,2
PTEN,FGFR2,2
PTEN,FGFR4,2
PTEN,SGK1,4
PTEN,FGFR3,2
PTEN,ITGB5,2
PTEN,CCND1,4
PTEN,CDH1,2
PTEN,AKT1,6
PTEN,LAMA2,4
COL4A5,COL4A5,2
COL4A5,RAP1A,2
COL4A5,CALM1,2
COL4A5,FGFR2,2
COL4A5,FGFR4,2
COL4A5,SGK1,2
COL4A5,FGFR3,2
COL4A5,ITGB5,2
COL4A5,CDH1,2
COL4A5,AKT1,2
COL4A5,LAMA2,2
RAP1A,RAP1A,8
RAP1A,CALM1,2
RAP1A,FGFR2,6
RAP1A,FGFR4,8
RAP1A,SGK1,2
RAP1A,FGFR3,2
RAP1A,ITGB5,2
RAP1A,CDH1,2
RAP1A,AKT1,2
RAP1A,LAMA2,2
CALM1,CALM1,2
CALM1,FGFR2,2
CALM1,FGFR4,2
CALM1,SGK1,2
CALM1,FGFR3,2
CALM1,ITGB5,2
CALM1,CDH1,2
CALM1,AKT1,2
CALM1,LAMA2,2
FGFR2,FGFR2,14
FGFR2,FGFR4,12
FGFR2,SGK1,2
FGFR2,FGFR3,2
FGFR2,ITGB5,2
FGFR2,CDH1,2
FGFR2,AKT1,4
FGFR2,LAMA2,2
FGFR4,FGFR4,16
FGFR4,SGK1,2
FGFR4,FGFR3,4
FGFR4,ITGB5,2
FGFR4,CDH1,2
FGFR4,AKT1,4
FGFR4,LAMA2,2
SGK1,SGK1,12
SGK1,FGFR3,2
SGK1,ITGB5,2
SGK1,CCND1,2
SGK1,CDH1,2
SGK1,AKT1,4
SGK1,LAMA2,2
FGFR3,FGFR3,4
FGFR3,ITGB5,2
FGFR3,CDH1,2
FGFR3,AKT1,4
FGFR3,LAMA2,2
ITGB5,ITGB5,2
ITGB5,CDH1,2
ITGB5,AKT1,2
ITGB5,LAMA2,2
CCND1,CCND1,10
CCND1,AKT1,4
CDH1,CDH1,6
CDH1,AKT1,2
CDH1,LAMA2,2
AKT1,AKT1,16
AKT1,LAMA2,2
LAMA2,LAMA2,10
