gene_name_1,gene_name_2,co_occurrence
PDK1,PDK1,70
PDK1,IGF1,54
PDK1,PI3K,54
PDK1,IGF1R,2
PDK1,S6K,64
PDK1,EN2,56
PDK1,MTORC1,14
PDK1,AKT,38
IGF1,IGF1,1708
IGF1,PI3K,206
IGF1,IGF1R,42
IGF1,S6K,236
IGF1,EN2,884
IGF1,MTORC1,12
IGF1,AKT,360
PI3K,PI3K,246
PI3K,IGF1R,28
PI3K,S6K,136
PI3K,EN2,176
PI3K,MTORC1,22
PI3K,AKT,184
IGF1R,IGF1R,42
IGF1R,S6K,4
IGF1R,EN2,36
IGF1R,MTORC1,2
IGF1R,AKT,22
S6K,S6K,322
S6K,EN2,246
S6K,MTORC1,14
S6K,AKT,134
EN2,EN2,2726
EN2,MTORC1,14
EN2,AKT,174
MTORC1,MTORC1,22
MTORC1,AKT,18
AKT,AKT,458
