gene_name_1,gene_name_2,co_occurrence
ITGB5,ITGB5,14
ITGB5,LAMA2,14
ITGB5,FGFR2,14
ITGB5,HRAS,14
ITGB5,AKT1,14
ITGB5,PTEN,14
ITGB5,GRB2,14
ITGB5,FGFR3,14
ITGB5,RAP1A,14
ITGB5,CALM1,14
ITGB5,FGFR4,14
ITGB5,COL4A5,14
ITGB5,SGK1,14
ITGB5,TSC2,14
ITGB5,CDH1,14
ITGB5,KDR,14
LAMA2,LAMA2,70
LAMA2,FGFR2,14
LAMA2,HRAS,14
LAMA2,AKT1,14
LAMA2,PTEN,52
LAMA2,GRB2,14
LAMA2,FGFR3,14
LAMA2,RAP1A,14
LAMA2,CALM1,14
LAMA2,FGFR4,14
LAMA2,COL4A5,14
LAMA2,SGK1,14
LAMA2,TSC2,52
LAMA2,CDH1,18
LAMA2,CCND1,34
LAMA2,KDR,26
FGFR2,FGFR2,98
FGFR2,HRAS,14
FGFR2,AKT1,32
FGFR2,PTEN,26
FGFR2,GRB2,42
FGFR2,FGFR3,14
FGFR2,RAP1A,50
FGFR2,CALM1,14
FGFR2,FGFR4,92
FGFR2,COL4A5,14
FGFR2,SGK1,14
FGFR2,TSC2,18
FGFR2,CDH1,14
FGFR2,KDR,86
HRAS,HRAS,28
HRAS,AKT1,28
HRAS,PTEN,14
HRAS,GRB2,14
HRAS,FGFR3,28
HRAS,RAP1A,14
HRAS,CALM1,14
HRAS,FGFR4,28
HRAS,COL4A5,14
HRAS,SGK1,14
HRAS,TSC2,14
HRAS,CDH1,14
HRAS,KDR,28
AKT1,AKT1,110
AKT1,PTEN,42
AKT1,GRB2,14
AKT1,FGFR3,28
AKT1,RAP1A,26
AKT1,CALM1,14
AKT1,FGFR4,48
AKT1,COL4A5,14
AKT1,SGK1,40
AKT1,TSC2,40
AKT1,CDH1,14
AKT1,CCND1,28
AKT1,KDR,60
PTEN,PTEN,168
PTEN,GRB2,24
PTEN,FGFR3,14
PTEN,RAP1A,24
PTEN,CALM1,14
PTEN,FGFR4,26
PTEN,COL4A5,14
PTEN,SGK1,56
PTEN,TSC2,108
PTEN,CDH1,28
PTEN,CCND1,52
PTEN,KDR,70
GRB2,GRB2,56
GRB2,FGFR3,14
GRB2,RAP1A,42
GRB2,CALM1,14
GRB2,FGFR4,42
GRB2,COL4A5,14
GRB2,SGK1,14
GRB2,TSC2,18
GRB2,CDH1,14
GRB2,KDR,42
FGFR3,FGFR3,28
FGFR3,RAP1A,14
FGFR3,CALM1,14
FGFR3,FGFR4,28
FGFR3,COL4A5,14
FGFR3,SGK1,14
FGFR3,TSC2,14
FGFR3,CDH1,14
FGFR3,KDR,28
RAP1A,RAP1A,56
RAP1A,CALM1,14
RAP1A,FGFR4,56
RAP1A,COL4A5,14
RAP1A,SGK1,14
RAP1A,TSC2,18
RAP1A,CDH1,14
RAP1A,KDR,42
CALM1,CALM1,14
CALM1,FGFR4,14
CALM1,COL4A5,14
CALM1,SGK1,14
CALM1,TSC2,14
CALM1,CDH1,14
CALM1,KDR,14
FGFR4,FGFR4,112
FGFR4,COL4A5,14
FGFR4,SGK1,14
FGFR4,TSC2,18
FGFR4,CDH1,14
FGFR4,KDR,96
COL4A5,COL4A5,14
COL4A5,SGK1,14
COL4A5,TSC2,14
COL4A5,CDH1,14
COL4A5,KDR,14
SGK1,SGK1,84
SGK1,TSC2,82
SGK1,CDH1,14
SGK1,CCND1,26
SGK1,KDR,70
TSC2,TSC2,154
TSC2,CDH1,26
TSC2,CCND1,46
TSC2,KDR,86
CDH1,CDH1,42
CDH1,KDR,14
CCND1,CCND1,70
CCND1,KDR,40
KDR,KDR,182
