gene_name_1,gene_name_2,co_occurrence
ETOH,ETOH,6
ETOH,LC3B,2
ETOH,ATG7,2
ETOH,SQSTM1,2
ETOH,PIK3C3,2
ETOH,AMPK,2
ETOH,FOXO1,2
BECN1,BECN1,4
BECN1,AMBRA1,2
BECN1,PIK3C3,2
BECN1,AMPK,2
BECN1,ATG14,2
AMBRA1,AMBRA1,2
AMBRA1,ATG14,2
LC3B,LC3B,2
LC3B,ATG7,2
LC3B,SQSTM1,2
LC3B,PIK3C3,2
LC3B,AMPK,2
LC3B,FOXO1,2
ATG7,ATG7,2
ATG7,SQSTM1,2
ATG7,PIK3C3,2
ATG7,AMPK,2
ATG7,FOXO1,2
SQSTM1,SQSTM1,2
SQSTM1,PIK3C3,2
SQSTM1,AMPK,2
SQSTM1,FOXO1,2
PIK3C3,PIK3C3,8
PIK3C3,AMPK,4
PIK3C3,FOXO1,2
MTORC1,MTORC1,6
MTORC1,AMPK,2
AMPK,AMPK,8
AMPK,FOXO1,2
ATG14,ATG14,2
FOXO1,FOXO1,2
