gene_name_1,gene_name_2,co_occurrence
PTEN,PTEN,2
PTEN,LAMA2,2
PTEN,GRB2,2
PTEN,SGK1,2
PTEN,FGFR2,2
PTEN,TSC2,2
PTEN,KDR,2
PTEN,RAP1A,2
PTEN,FGFR3,2
PTEN,ITGB5,2
PTEN,AKT1,2
PTEN,CDH1,2
PTEN,CALM1,2
PTEN,FGFR4,2
PTEN,COL4A5,2
PTEN,HRAS,2
LAMA2,LAMA2,2
LAMA2,GRB2,2
LAMA2,SGK1,2
LAMA2,FGFR2,2
LAMA2,TSC2,2
LAMA2,KDR,2
LAMA2,RAP1A,2
LAMA2,FGFR3,2
LAMA2,ITGB5,2
LAMA2,AKT1,2
LAMA2,CDH1,2
LAMA2,CALM1,2
LAMA2,FGFR4,2
LAMA2,COL4A5,2
LAMA2,HRAS,2
GRB2,GRB2,2
GRB2,SGK1,2
GRB2,FGFR2,2
GRB2,TSC2,2
GRB2,KDR,2
GRB2,RAP1A,2
GRB2,FGFR3,2
GRB2,ITGB5,2
GRB2,AKT1,2
GRB2,CDH1,2
GRB2,CALM1,2
GRB2,FGFR4,2
GRB2,COL4A5,2
GRB2,HRAS,2
SGK1,SGK1,2
SGK1,FGFR2,2
SGK1,TSC2,2
SGK1,KDR,2
SGK1,RAP1A,2
SGK1,FGFR3,2
SGK1,ITGB5,2
SGK1,AKT1,2
SGK1,CDH1,2
SGK1,CALM1,2
SGK1,FGFR4,2
SGK1,COL4A5,2
SGK1,HRAS,2
FGFR2,FGFR2,2
FGFR2,TSC2,2
FGFR2,KDR,2
FGFR2,RAP1A,2
FGFR2,FGFR3,2
FGFR2,ITGB5,2
FGFR2,AKT1,2
FGFR2,CDH1,2
FGFR2,CALM1,2
FGFR2,FGFR4,2
FGFR2,COL4A5,2
FGFR2,HRAS,2
TSC2,TSC2,2
TSC2,KDR,2
TSC2,RAP1A,2
TSC2,FGFR3,2
TSC2,ITGB5,2
TSC2,AKT1,2
TSC2,CDH1,2
TSC2,CALM1,2
TSC2,FGFR4,2
TSC2,COL4A5,2
TSC2,HRAS,2
KDR,KDR,4
KDR,RAP1A,2
KDR,FGFR3,4
KDR,ITGB5,2
KDR,AKT1,4
KDR,CDH1,2
KDR,CALM1,2
KDR,FGFR4,4
KDR,COL4A5,2
KDR,HRAS,4
RAP1A,RAP1A,2
RAP1A,FGFR3,2
RAP1A,ITGB5,2
RAP1A,AKT1,2
RAP1A,CDH1,2
RAP1A,CALM1,2
RAP1A,FGFR4,2
RAP1A,COL4A5,2
RAP1A,HRAS,2
FGFR3,FGFR3,4
FGFR3,ITGB5,2
FGFR3,AKT1,4
FGFR3,CDH1,2
FGFR3,CALM1,2
FGFR3,FGFR4,4
FGFR3,COL4A5,2
FGFR3,HRAS,4
ITGB5,ITGB5,2
ITGB5,AKT1,2
ITGB5,CDH1,2
ITGB5,CALM1,2
ITGB5,FGFR4,2
ITGB5,COL4A5,2
ITGB5,HRAS,2
AKT1,AKT1,4
AKT1,CDH1,2
AKT1,CALM1,2
AKT1,FGFR4,4
AKT1,COL4A5,2
AKT1,HRAS,4
CDH1,CDH1,2
CDH1,CALM1,2
CDH1,FGFR4,2
CDH1,COL4A5,2
CDH1,HRAS,2
CALM1,CALM1,2
CALM1,FGFR4,2
CALM1,COL4A5,2
CALM1,HRAS,2
FGFR4,FGFR4,4
FGFR4,COL4A5,2
FGFR4,HRAS,4
COL4A5,COL4A5,2
COL4A5,HRAS,2
HRAS,HRAS,4
